Created At	tweet_id	Retweet Count	Favorite Count	Retweeted
2017-08-01 16:23:56	892420643555336193	8231	37776	False
2017-08-01 00:17:27	892177421306343426	6082	32454	False
2017-07-31 00:18:03	891815181378084864	4026	24437	False
2017-07-30 15:58:51	891689557279858688	8389	41113	False
2017-07-29 16:00:24	891327558926688256	9088	39318	False
2017-07-29 00:08:17	891087950875897856	3016	19770	False
2017-07-28 16:27:12	890971913173991426	1992	11553	False
2017-07-28 00:22:40	890729181411237888	18294	63713	False
2017-07-27 16:25:51	890609185150312448	4142	27164	False
2017-07-26 15:59:51	890240255349198849	7153	31145	False
2017-07-26 00:31:25	890006608113172480	7112	29939	False
2017-07-25 16:11:53	889880896479866881	4825	27150	False
2017-07-25 01:55:32	889665388333682689	9734	46927	False
2017-07-25 00:10:02	889638837579907072	4393	26473	False
2017-07-24 17:02:04	889531135344209921	2184	14761	False
2017-07-24 00:19:32	889278841981685760	5208	24634	False
2017-07-23 00:22:39	888917238123831296	4369	28426	False
2017-07-22 16:56:37	888804989199671297	4153	24946	False
2017-07-22 00:23:06	888554962724278272	3432	19347	False
2017-07-20 16:49:33	888078434458587136	3386	21236	False
2017-07-19 16:06:48	887705289381826560	5221	29479	False
2017-07-19 03:39:09	887517139158093824	11349	45158	False
2017-07-19 00:47:34	887473957103951883	17625	67325	False
2017-07-18 16:08:03	887343217045368832	10115	32869	False
2017-07-18 00:07:08	887101392804085760	5784	29841	False
2017-07-17 16:17:36	886983233522544640	7535	34281	False
2017-07-16 23:58:41	886736880519319552	3173	11765	False
2017-07-16 20:14:00	886680336477933568	4327	21905	False
2017-07-15 23:25:31	886366144734445568	3106	20677	False
2017-07-15 16:51:35	886267009285017600	4	116	False
2017-07-15 16:17:19	886258384151887873	6110	27317	False
2017-07-15 02:45:48	886054160059072513	104	0	False
2017-07-14 22:10:11	885984800019947520	6563	31840	False
2017-07-13 15:58:47	885528943205470208	6235	35093	False
2017-07-13 15:19:09	885518971528720385	3641	19950	False
2017-07-13 01:35:06	885311592912609280	17991	0	False
2017-07-12 16:03:00	885167619883638784	4257	21380	False
2017-07-12 00:01:00	884925521741709313	17716	75504	False
2017-07-11 20:47:12	884876753390489601	5453	27240	False
2017-07-11 00:00:02	884562892145688576	4552	23699	False
2017-07-10 15:58:53	884441805382717440	5497	26363	False
2017-07-10 03:08:17	884247878851493888	19912	71207	False
2017-07-09 21:29:42	884162670584377345	2893	19870	False
2017-07-09 00:00:04	883838122936631299	3346	21363	False
2017-07-08 00:28:19	883482846933004288	9640	44804	False
2017-07-07 16:22:55	883360690899218434	3599	22149	False
2017-07-07 00:17:54	883117836046086144	6473	36278	False
2017-07-06 15:58:11	882992080364220416	3810	23376	False
2017-07-06 00:46:41	882762694511734784	4762	27627	False
2017-07-05 15:48:34	882627270321602560	5915	27280	False
2017-07-04 16:01:23	882268110199369728	11259	43859	False
2017-07-04 01:18:17	882045870035918850	4815	28630	False
2017-07-03 16:04:48	881906580714921986	3302	23750	False
2017-07-03 00:11:11	881666595344535552	10374	49392	False
2017-07-02 21:58:53	881633300179243008	7	124	False
2017-07-02 15:32:16	881536004380872706	15508	48245	False
2017-07-01 21:49:04	881268444196462592	5035	22563	False
2017-06-30 23:47:07	880935762899988482	2706	16643	False
2017-06-30 19:35:32	880872448815771648	3724	20758	False
2017-06-29 16:39:47	880465832366813184	6103	27860	False
2017-06-29 00:27:25	880221127280381952	4099	26381	False
2017-06-28 16:09:20	880095782870896641	4221	26963	False
2017-06-28 00:42:13	879862464715927552	3401	21816	False
